"GDLcode","X1","X2"
"AFGr101",3725723.92562288,3951872.26237712
"AFGr102",561027.859137759,549525.369862241
"AFGr103",1596759.30096431,1722465.95103569
"AFGr104",2324185.90133204,2400023.69266796
"AFGr105",2372077.25420004,2534598.53179996
"AFGr106",1834718.89069019,1938028.34530981
"AFGr107",1607314.11263114,1855436.29536886
"AFGr108",2292928.85627107,2480143.39672893
"ALBr201",66871.7787581607,64421.3552418393
"ALBr202",63856.9716420802,63274.3158579198
"ALBr203",140088.401954685,134842.949545315
"ALBr204",142842.450169872,141993.022130128
"ALBr205",152237.880728471,146297.547571529
"ALBr206",31854.5385743286,33858.4830156714
"ALBr207",105958.118294596,109289.859605404
"ALBr208",40304.2730450202,40263.8499149798
"ALBr209",68380.5230447046,67922.5339552954
"ALBr210",104787.801548364,103231.244751636
"ALBr211",445658.483699784,423747.391500216
"ALBr212",89317.9572322564,85973.6720677437
"AGOr201",413418.656602345,397086.884397655
"AGOr202",348217.510480272,331584.904219728
"AGOr203",769883.819083181,751365.839916819
"AGOr204",3843673.42093494,3534022.98706506
"AGOr205",264121.275767826,256600.353432174
"AGOr206",1048457.93113501,994316.426864989
"AGOr207",578065.609627844,550978.846372156
"AGOr208",491256.317352329,442763.447447671
"AGOr209",1203543.25555884,1080928.12544116
"AGOr210",1104333.15337483,1012273.97562517
"AGOr211",803109.009304518,715963.894695482
"AGOr212",467886.621653097,440980.376246903
"AGOr213",313638.070414743,254138.345585257
"AGOr214",289994.8440181,257054.2094819
"AGOr215",1493776.49387051,1355345.93612949
"AGOr216",625545.764958831,533486.495041169
"AGOr217",312433.219052462,279901.876747538
"AGOr218",221394.509973637,226814.932726363
"ARMr101",66363.3943405162,64846.9043594838
"ARMr102",132001.900388248,128008.119211752
"ARMr103",147288.460918005,143667.433881995
"ARMr104",108408.598437925,102171.326762075
"ARMr105",112326.848867702,97172.7677322976
"ARMr106",110820.768887564,98778.580912436
"ARMr107",122304.522296204,111176.767903796
"ARMr108",58707.4075567676,56643.1777432324
"ARMr109",23747.9009007531,22145.5577892469
"ARMr110",54503.4709726686,52733.3120273314
"ARMr111",586067.343758714,481753.973241286
"BGDr201",2169409.74735857,2005580.80064143
"BGDr202",2229866.48428958,2138528.77071042
"BGDr203",4455416.61924654,3848305.30875346
"BGDr204",1441350.93584082,1493156.77815918
"BGDr205",634949.555615271,712740.264384729
"BGDr206",3688721.18323215,3144279.19576785
"BGDr207",6113296.17068798,5359133.04931202
"BGDr208",6867525.66118938,7149422.94881061
"BGDr209",5279565.69939698,5157440.30060302
"BGDr210",3974711.40233757,3782793.22666243
"BGDr211",5782919.54281159,5417451.90718841
"BGDr212",2416527.54358099,2254841.15941901
"BGDr213",2749611.00948072,2492478.28251928
"BGDr214",3017146.53135691,2916038.30564309
"BGDr215",2489905.88792623,2257322.07907377
"BGDr216",3068410.30022885,2760161.99477115
"BGDr217",3779044.39608446,3600489.48991554
"BGDr218",3972477.09730716,3931990.09769284
"BGDr219",3694833.31944499,3498545.93255501
"BGDr220",3866523.37403032,3853752.05296968
"BGDr221",3519346.84122688,3195149.55677312
"BGDr222",3092450.63056209,2923036.52743791
"BGDr223",2593088.88705192,2440974.93694808
"BENr101",745617.205703025,752872.729296974
"BENr102",1133685.78797563,1052862.04602437
"BENr103",1175203.96873417,1144438.66926583
"BENr104",664674.197934677,624521.755065323
"BENr105",994658.327205226,899763.431794774
"BENr106",913178.300135187,806775.585864813
"BDIr101",1758077.41467523,1586776.31432477
"BDIr102",712719.057643188,650743.566356812
"BDIr103",698693.825648858,657060.767351142
"BDIr104",1257635.36938873,1226305.83861127
"BDIr105",1175582.2510909,994397.380909103
"KHMr101",400334.409730194,370759.953369806
"KHMr102",887208.126304024,833891.910695976
"KHMr103",268292.380683464,232753.866116536
"KHMr104",401562.873789187,377381.233910813
"KHMr105",348956.096109185,323154.859190815
"KHMr106",729341.646869543,683607.039130457
"KHMr107",70416.5969400545,65253.6914599455
"KHMr108",892087.49315364,820350.68384636
"KHMr109",499122.485762899,449323.683437101
"KHMr110",212997.066758574,199584.059041426
"KHMr111",246798.010380912,235173.649719088
"KHMr112",454073.58692445,426892.02517555
"KHMr113",742063.085749699,720045.932250301
"KHMr114",461231.456389786,433743.487010214
"KHMr115",369431.684451518,357047.014748482
"KHMr116",147317.669860199,153000.202339801
"KHMr117",791486.116733535,762619.646266465
"CMRr101",603736.637003739,559924.323996261
"CMRr102",2388213.71779509,2318354.81420491
"CMRr103",464271.04549545,441475.21300455
"CMRr104",1984115.72289344,1929795.17310656
"CMRr105",1867883.10487802,1849998.30312198
"CMRr106",1191130.78853748,1182719.94246252
"CMRr107",1068966.76886844,919629.064131562
"CMRr108",998283.03517694,888888.490823061
"CMRr109",416981.250387472,375403.378412528
"CMRr110",829860.722498197,746869.351501803
"TCDr101",575225.162185137,648733.066814862
"TCDr102",856310.1029045,834237.4060955
"TCDr103",849494.832341469,818194.867658531
"TCDr104",1252527.57361213,1115951.98338787
"TCDr105",708820.731200058,710117.942799942
"TCDr106",835800.200900851,797070.881099149
"TCDr107",1325128.95800658,1293043.18799342
"TCDr108",732580.585867454,765084.687132546
"CODr101",4268714.3904753,3801437.6585247
"CODr102",1747368.01321694,1606114.00078306
"CODr103",3420831.34529753,3153766.42670247
"CODr104",3906605.23589946,3873072.65910054
"CODr105",4829446.78726214,4594830.04473786
"CODr106",3402200.09853914,3049732.06146086
"CODr107",2262010.50703209,2244837.38096791
"CODr108",1084519.38108125,1057043.10491875
"CODr109",7644401.52121246,7432519.80878754
"CODr110",3507496.99388495,3388080.23611505
"CODr111",4392700.27710125,3975147.26189875
"DOMr101",2076140.76505772,1929503.44694228
"DOMr102",572086.634522859,574859.354477142
"DOMr103",809876.276518932,772243.491481068
"DOMr104",323418.501093935,342849.594606065
"DOMr105",201968.355157761,203226.737742239
"DOMr106",529804.248172587,524116.151827413
"DOMr107",140649.273022615,154730.615577385
"DOMr108",206579.154231168,223812.772268832
"DOMr109",359444.007529403,385212.900170597
"EGYr101",4703235.37954551,4831480.41045449
"EGYr102",2683519.68680971,2573846.32219029
"EGYr103",362157.913876138,367129.966723862
"EGYr104",302382.427852412,282046.429647588
"EGYr105",751425.425999291,758255.571000709
"EGYr106",3234140.89707494,3425628.17692506
"EGYr107",3433885.24655531,3755500.57644469
"EGYr108",2721818.05618376,2912729.04081624
"EGYr109",1776512.22983766,1757237.81516234
"EGYr110",2627326.27785758,2673755.60614242
"EGYr111",2145671.21550745,2243247.59549255
"EGYr112",3115637.64844168,3263586.34455832
"EGYr113",639531.163447176,642379.514552824
"EGYr114",4603647.30360521,4867379.60039479
"EGYr115",1552233.38864236,1590747.72935764
"EGYr116",1677337.87417156,1819744.63382844
"EGYr117",2776065.52431645,2901096.26468355
"EGYr118",2325221.52024844,2351176.65575156
"EGYr119",2498310.34359557,2574258.36540443
"EGYr120",2492475.82468421,2431635.74331579
"EGYr121",657426.010708589,678786.222291411
"EGYr122",831669.571419307,862444.104580694
"ETHr101",3160515.24890788,2921875.58609212
"ETHr102",936368.923375916,907732.627624084
"ETHr103",11549547.3584776,11017072.5415224
"ETHr104",18890898.571129,19310386.098871
"ETHr105",3123863.09089246,2945672.39410754
"ETHr106",566870.106412485,536639.195587515
"ETHr107",10563563.8168121,10338922.7031879
"ETHr108",253328.250984246,249071.518515754
"ETHr109",135013.056996748,120240.914203252
"ETHr110",2389435.32865954,1895184.42134046
"ETHr111",245597.910105865,220386.699294135
"GMBr101",16710.8657917209,16250.2754482791
"GMBr102",184479.166523426,173196.691776574
"GMBr103",473161.467423705,479857.708376295
"GMBr104",48213.5907083909,43339.2322116092
"GMBr105",137499.050709635,123555.913790365
"GMBr106",134431.565879556,121087.823920444
"GMBr107",1865.00577840512,1633.56529059488
"GMBr108",151416.816267029,129031.305332971
"GHAr101",1449426.69398666,1279268.07501334
"GHAr102",1395014.14115391,1216408.29984609
"GHAr103",2350397.27251289,2254924.11748711
"GHAr104",1261116.59711184,1193224.37788816
"GHAr105",1507408.66201407,1401812.53898593
"GHAr106",3132896.16121388,2771343.17678612
"GHAr107",1353331.13572006,1252943.69627994
"GHAr108",1506466.66665431,1509415.20134569
"GHAr109",392673.67288589,383537.04491411
"GHAr110",573297.359335724,552636.307664276
"GTMr101",1748075.04577085,1566081.49422915
"GTMr102",796333.071982267,743956.955017733
"GTMr103",652351.547592065,592136.138407935
"GTMr104",620710.287993123,569145.882006877
"GTMr105",903079.119366902,863408.719633098
"GTMr106",2055678.61970689,1820470.24329311
"GTMr107",1240760.40441164,1089715.67258836
"GTMr108",366149.419904413,361496.694495587
"HTIr101",1711456.00028362,1487748.93771638
"HTIr102",325410.891316429,307877.554783571
"HTIr103",586816.689108987,513824.563891013
"HTIr104",219497.961198531,198207.055001469
"HTIr105",979019.036947925,893642.433052075
"HTIr106",402030.771446967,385744.313453033
"HTIr107",385162.430877919,382240.364322081
"HTIr108",402876.200759934,417299.501140066
"HTIr109",396189.875605996,365707.314194004
"INDr101",26459484.2178658,25808954.7621342
"INDr102",16715531.7643747,16912100.0056253
"INDr103",59715975.1798052,56576280.6201948
"INDr104",760741.927533242,748093.363466758
"INDr105",32538547.9349779,34059465.1350221
"INDr106",12967535.1779667,14779860.5220333
"INDr107",3821486.85529164,3574336.20870836
"INDr108",6814108.20590105,7044330.66409895
"INDr109",32898484.5729725,33458173.1570275
"INDr110",18954718.7089814,18198430.2710186
"INDr111",38799579.9498811,40779672.3301189
"INDr112",59404926.1484297,61717724.2515703
"INDr113",1627848.07243256,1577949.03856744
"INDr114",1741225.14202189,1738380.67497811
"INDr115",626651.259115359,629408.00588464
"INDr116",1056004.1982479,1095555.9437521
"INDr117",22927998.0215292,22288101.8184708
"INDr118",14268313.3943274,15756398.2456726
"INDr119",37475303.7657589,38255898.9742411
"INDr120",311560.112419957,330908.801780043
"INDr121",39680579.8092313,38676743.8007687
"INDr122",48903621.3214534,48681003.1085466
"INDr123",109375868.022125,110161119.877875
"INDr124",8427734.64068267,9813817.03931732
"INDr125",752193.448119241,790998.771880759
"INDr126",2024873.83727153,2029922.17972847
"INDr127",5635351.61191203,5559027.71808797
"INDr128",18336443.0936112,18396275.6363888
"INDr129",14124630.1550563,13807233.6249437
"INDr130",19066673.6235737,18901006.4564263
"INDr131",413433.413077627,440538.406722373
"INDr132",227783.410947466,265452.385452534
"INDr133",618440.190975356,580795.310024643
"INDr134",67905.5856239852,92964.2295760148
"INDr135",24637.0549916698,24464.7971483302
"INDr136",183958.878117426,187899.853282574
"IDNr101",2351971.92431828,2271055.09268172
"IDNr102",6939348.41188228,6795066.40811772
"IDNr103",2644753.18235504,2521912.16764496
"IDNr104",3331567.02958532,3347370.00141468
"IDNr105",1732565.80780309,1767376.63119691
"IDNr106",3824584.37673113,4066011.15026886
"IDNr107",904509.752157939,920135.082842061
"IDNr108",3977587.75953824,4132275.94946176
"IDNr109",684103.518044134,701819.722955866
"IDNr110",4948568.48359425,5050431.59840575
"IDNr111",23863386.1424967,24084936.8275033
"IDNr112",17110948.7990684,16144861.8109316
"IDNr113",1879005.59400272,1797388.43799728
"IDNr114",19748144.4062323,19004219.8637677
"IDNr115",5986033.79456881,6235552.01543119
"IDNr116",2094963.75792452,2159151.69307548
"IDNr117",2470322.34610388,2327312.17689612
"IDNr118",2552759.0898191,2476084.6961809
"IDNr120",2337503.02367775,2410461.43332225
"IDNr121",1195004.07751136,1260359.44248864
"IDNr122",1971560.14649972,2004841.58150028
"IDNr123",2046660.14850201,2096774.75449799
"IDNr124",1173183.84806668,1207773.68093332
"IDNr125",1343262.16426155,1383774.38273845
"IDNr126",5080860.06204082,4737547.69895918
"IDNr127",1223308.08130269,1182700.39569731
"IDNr128",576822.936713972,564021.441286028
"IDNr129",1275382.02148516,1268613.01351484
"IDNr130",3378880.00762183,3533539.21237817
"JORr101",1672593.88770738,1675584.45429262
"JORr102",528833.393875326,523059.704124674
"JORr103",539331.756714003,562453.848285997
"JORr104",121970.816949156,123298.446550844
"JORr105",935869.601551811,943697.685448189
"JORr106",245882.6601623,257111.0816377
"JORr107",86300.793962632,86837.505537368
"JORr108",145423.869394486,148376.318205514
"JORr109",195151.760293398,185941.614606602
"JORr110",71986.3006168361,68218.1392831639
"JORr111",86277.2275755872,86677.7161244128
"JORr112",97376.8743745602,98545.1392254398
"KENr101",2093342.43435311,2084575.39464689
"KENr102",2490202.50397389,2357812.02202611
"KENr103",2000228.07311656,2021758.02188344
"KENr104",3294972.29896881,3212136.40803119
"KENr105",3245199.75247158,3002120.45352842
"KENr106",6306060.86919371,6151648.89080628
"KENr107",2593871.00951537,2411874.13248463
"KENr108",1768923.19700751,1936847.31899249
"LSOr101",61295.3216348102,61970.3205651898
"LSOr102",168591.900569102,154468.872830898
"LSOr103",155321.530173072,151002.375426928
"LSOr104",257705.48579853,229926.05790147
"LSOr105",106121.238779493,103175.796020507
"LSOr106",92306.1055594935,90525.1767405065
"LSOr107",72089.1242392383,65553.7684607617
"LSOr108",40613.427965578,39351.749294422
"LSOr109",60637.4116154045,62117.7535845955
"LSOr110",72442.8106260018,71081.7282739982
"LBRr101",83356.1145460916,89920.5419539084
"LBRr102",192570.168153555,202078.521446445
"LBRr103",50141.5008394742,52438.6048605258
"LBRr104",128601.370301642,134177.454598358
"LBRr105",81805.6997553369,85701.8797446631
"LBRr106",82749.5263620979,83690.4033379021
"LBRr107",29482.6974714793,32784.7901185207
"LBRr108",185439.604320928,180359.767979072
"LBRr109",206677.277346427,206670.567853573
"LBRr110",81885.0634246003,88430.0127753997
"LBRr111",711452.204454221,658903.605545779
"LBRr112",293479.660929467,299328.653870533
"LBRr113",46303.1352184886,51146.0701415114
"LBRr114",50871.5099811053,54108.6173188947
"LBRr115",58754.5451440882,60982.6861559119
"MWIr101",610425.453124986,596213.058875014
"MWIr102",401556.931405214,401561.720194785
"MWIr103",339939.910929757,312953.472470243
"MWIr104",544815.067702767,483072.232297234
"MWIr105",579568.403621871,558826.776378129
"MWIr106",236060.485367295,215886.033732705
"MWIr107",398501.342786485,361410.105213515
"MWIr108",423135.427030097,391324.445469903
"MWIr109",1355209.82464795,1240529.26035205
"MWIr110",340488.753720941,305503.803379059
"MWIr111",549678.539216204,541252.058783796
"MWIr112",1771503.3101053,1670423.7178947
"MWIr113",1160763.1629941,1112492.0640059
"MDVr101",92755.8144874735,87614.1855125265
"MDVr102",34136.8212416252,26575.1787583748
"MDVr103",31908.1337916797,25482.8662083203
"MDVr104",17445.8984735519,16380.1015264481
"MDVr105",28718.2687251701,25765.7312748299
"MDVr106",36152.66195587,31990.33804413
"MLIr101",1237242.57896369,1213291.42903631
"MLIr102",1618579.7455689,1581171.2164311
"MLIr103",1669998.82810391,1668204.51089609
"MLIr104",1405741.07435706,1422005.59364294
"MLIr105",1244589.56500416,1213112.67599584
"MLIr108",1122397.59062204,1055031.76837796
"MMRr101",886833.448502645,827518.204497354
"MMRr102",151827.447071937,140686.727828063
"MMRr103",811225.210866811,706088.372133189
"MMRr104",284618.888404045,266567.258895955
"MMRr105",2948443.96834368,2662051.13565632
"MMRr106",694839.932138835,655399.104861165
"MMRr107",2650955.4298064,2319149.7041936
"MMRr108",2159045.03091379,1808179.72408621
"MMRr109",3883739.07951557,3330860.18048443
"MMRr110",1092117.27439198,955019.755608024
"MMRr111",1077381.83510015,872156.023899853
"MMRr112",4092826.44051737,3479609.93348263
"MMRr113",3131134.75822231,2915950.70777769
"MMRr114",3238782.7741497,3028630.1728503
"NAMr101",50471.9968669496,47451.7249130504
"NAMr102",85505.3253656918,89558.5251343082
"NAMr103",44159.8637784112,41633.2839415888
"NAMr104",44241.6184367756,42090.6512532244
"NAMr105",203822.571712637,184838.329287362
"NAMr106",49808.0551835594,45734.9815664406
"NAMr107",136385.906265034,119765.530934966
"NAMr108",126199.738997521,109170.141802479
"NAMr109",35067.8611324757,38659.2800975242
"NAMr110",140206.858517765,113044.955082235
"NAMr111",99571.0180885518,87713.2836114482
"NAMr112",103378.156792802,91404.4338071977
"NAMr113",76751.574815688,73725.277384312
"NPLr101",3333609.65527553,2874263.36972447
"NPLr102",5490389.58772734,4898532.45227266
"NPLr103",2616573.06391833,2164769.13408167
"NPLr104",1837452.22783434,1512639.94216566
"NPLr105",1613278.37026589,1297815.61273411
"NGAr101",2748256.33291984,2698533.99408016
"NGAr102",2945770.25852962,2774796.57647038
"NGAr103",3133027.68943805,3084028.51956195
"NGAr104",2098750.69319399,2019967.26580601
"NGAr105",2695325.17104513,2826270.52195487
"NGAr106",2683542.79320107,2803518.33979893
"NGAr107",1875485.08761923,1790031.91138077
"NGAr108",2090996.51041808,2006867.98058192
"NGAr109",2673293.0891869,2486130.0198131
"NGAr110",3800880.72598349,3888219.74701651
"NGAr111",6192169.423553,6085689.166447
"NGAr112",3918591.32897123,3625532.78502877
"NGAr113",1538919.31274944,1482264.04025056
"NGAr114",5405960.77964108,5417444.66035892
"NGAr115",2547643.01180709,2705496.87319291
"NGAr116",2594370.84426211,2349802.75973789
"NGAr117",2264762.21221594,2207355.32178406
"NGAr118",3641006.7116055,3595868.0833945
"NGAr119",2077923.65323835,2022805.78176165
"NGAr120",3448234.67071891,3613724.18428109
"NGAr121",2330901.54782788,2509611.35917212
"NGAr122",1928186.59959932,1883166.89340068
"NGAr123",2815146.18735803,2693737.03664197
"NGAr124",2345472.90456638,1919234.79943361
"NGAr125",2901328.24054843,2709205.13645157
"NGAr126",2160472.971087,2121278.620913
"NGAr127",2274799.36140079,2171287.88559921
"NGAr128",2264504.9477906,2143325.3782094
"NGAr129",1488396.71802689,1455213.98197311
"NGAr130",1538443.79391615,1620038.25608385
"NGAr131",1081339.64106204,1115992.89193796
"NGAr132",1601472.58477167,1283983.51422833
"NGAr133",1647413.64535996,1516587.80164004
"NGAr134",1581310.66915737,1556904.36784263
"NGAr135",1208198.05565552,1216578.52834448
"NGAr136",2213789.61533194,2087845.22666806
"NGAr137",1040562.95979055,1185473.67920945
"PAKr101",59066167.9813828,56206243.9186172
"PAKr102",23359145.0970763,23580966.4129237
"PAKr103",15083081.4666323,14185454.1033677
"PAKr104",3915409.75855282,4077858.51144717
"PAKr105",1131803.72719978,1187171.81080022
"PAKr106",530682.482025803,498751.107974197
"PAKr107",1946868.86272138,1703167.49627862
"PAKr108",2222631.34221636,2120742.31278364
"PNGr101",97860.218164284,104191.064135716
"PNGr102",62889.5776005208,66958.0768994793
"PNGr103",123099.335349881,131062.969050119
"PNGr104",179203.338851994,190796.494448006
"PNGr105",128475.080063521,136786.485436479
"PNGr106",100807.28538278,107328.78521722
"PNGr107",313207.1064983,329558.0343017
"PNGr108",282911.418271175,297680.764428825
"PNGr109",211925.754680651,222989.305419349
"PNGr110",253395.327414897,266623.790685103
"PNGr111",345533.290031159,363571.801168841
"PNGr112",352145.030568738,380832.815431262
"PNGr113",264840.73454845,286416.203051549
"PNGr114",238285.92246396,257698.08133604
"PNGr115",120774.881228866,130613.906371134
"PNGr116",20177.0213571019,21354.6360028981
"PNGr117",75399.6421412788,79800.2779587212
"PNGr118",144742.558548881,153190.334551119
"PNGr119",126999.06289551,134411.25490449
"PNGr120",123432.98858851,130637.04971149
"PNGr121",235946.272308522,249717.075291478
"PNGr122",226368.213039358,239580.000760642
"PHLr101",6156856.30443742,6015099.98556258
"PHLr102",880074.262583363,972732.161416638
"PHLr103",2596600.54087685,2584971.86412315
"PHLr104",1759782.19345338,1895195.55354662
"PHLr105",5625271.1925703,5790781.2174297
"PHLr106",7016444.37834939,7181382.59165061
"PHLr107",1379845.01466876,1482901.47933124
"PHLr108",2887065.53873273,2879932.72626727
"PHLr109",3581277.62754622,3843454.00645378
"PHLr110",3539160.54204311,3623613.63095689
"PHLr111",1966359.36265787,2149818.65634213
"PHLr112",1696146.96192086,1795744.77507914
"PHLr113",2326071.04459881,2551558.09140119
"PHLr114",2277101.74947026,2775280.17452974
"PHLr115",2056518.37788069,2331337.66311931
"PHLr116",1251423.26740461,1358053.24159539
"PHLr117",1310958.60333266,1374959.85966734
"RWAr101",666381.32020899,639038.15679101
"RWAr102",1498919.73124252,1327498.09875748
"RWAr103",1397747.9602095,1251001.7057905
"RWAr104",966484.775968516,848287.846031484
"RWAr105",1579997.2426157,1447084.5633843
"SENr101",1664762.254832,1558722.167168
"SENr102",289890.021299422,293057.496900578
"SENr103",921890.588119539,680246.66988046
"SENr104",832046.562847671,718513.190152329
"SENr105",484115.394261612,417384.543738388
"SENr106",891563.12433523,740526.37766477
"SENr107",983307.469697547,887816.310302453
"SENr108",503905.640164391,415460.430935609
"SENr109",415161.983150273,340015.335649727
"SENr110",621852.063832833,574901.989167167
"SLEr101",306528.553249179,284559.354950821
"SLEr102",204905.717859922,191232.767740078
"SLEr103",202799.707433184,187185.001066816
"SLEr104",343470.075781267,309341.420118733
"SLEr105",258965.834674714,242163.385025286
"SLEr106",271675.059089051,239139.600110949
"SLEr107",353063.430651196,352819.975948804
"SLEr108",221738.905805335,205077.099394665
"SLEr109",383657.198866928,339422.362533072
"SLEr110",100892.305008732,96306.8072912682
"SLEr111",180700.780078961,180135.632421039
"SLEr112",179799.378081699,174477.704418301
"SLEr113",288458.444172481,272196.159227519
"SLEr114",451308.767060386,413928.575239614
"ZAFr101",3454061.73652035,3025061.35547965
"ZAFr102",3628225.43901535,3194633.66798465
"ZAFr103",681830.449426447,580076.566573553
"ZAFr104",1559519.11320398,1279278.27579602
"ZAFr105",5846005.19288183,4888175.11711817
"ZAFr106",1919953.1725967,1930670.8944033
"ZAFr107",6791447.52126066,6808206.91873934
"ZAFr108",2264527.84484656,2189137.43915344
"ZAFr109",3163973.82898274,2627670.11701726
"TJKr101",363035.832737159,355611.167262841
"TJKr102",1520028.99751661,1556934.19948339
"TJKr103",1295819.72508312,1172128.32991688
"TJKr104",1384938.8959961,1384728.4250039
"TJKr105",120105.139298782,116459.886901218
"TZAr201",1197404.99531193,1193515.55168807
"TZAr202",1827730.59419219,1802773.81480781
"TZAr203",978208.186076522,880171.792923478
"TZAr204",1207953.00040585,1149660.99859415
"TZAr205",1318643.36546926,1245233.54453074
"TZAr206",660989.467069305,603051.278930695
"TZAr207",2810561.07810749,2660821.84789251
"TZAr208",489188.777507789,465198.049192211
"TZAr209",755420.14774678,670901.037253221
"TZAr210",792483.641744947,785417.077255053
"TZAr211",930276.540722596,897786.970277405
"TZAr212",1619796.07784643,1543673.35115357
"TZAr213",812062.599165339,774287.450834661
"TZAr214",1414442.56023064,1286859.48776936
"TZAr215",952329.866408078,891549.438591922
"TZAr216",1241401.83186236,1202045.11713764
"TZAr217",1819568.50115931,1808311.36784069
"TZAr218",1428918.21632953,1342871.40067047
"TZAr219",2670092.72361307,2607196.81238693
"TZAr220",1066537.34620321,903984.246796792
"TZAr221",106834.974407153,107058.228492847
"TZAr222",66758.1692226065,58830.9578773935
"TZAr223",377327.940678884,335224.752221116
"TZAr224",120707.358924605,110237.386575395
"TZAr225",112737.153796186,102591.540603814
"TLSr101",26891.0617536142,27891.5275963859
"TLSr102",30494.4208889529,30717.7491510471
"TLSr103",59639.0402200883,58507.7766799117
"TLSr104",49093.6142862781,48788.5323037219
"TLSr105",32986.5778635055,31668.0200764945
"TLSr106",139225.946901241,148965.756498759
"TLSr107",64663.0996832691,64825.6722167309
"TLSr108",33642.6250830715,35219.1496669285
"TLSr109",32333.3089828691,29472.7568771309
"TLSr110",25372.462969283,25314.229500717
"TLSr111",23379.6359288056,24310.4348811944
"TLSr112",32910.5094219448,32669.6501680552
"TLSr113",37538.0272304005,38276.1484995995
"TGOr101",921616.669798875,825018.909201125
"TGOr102",696099.422166772,650041.904833228
"TGOr103",845695.699816361,799420.603183639
"TGOr104",382643.741869855,382406.480030145
"TGOr105",454113.462205712,448598.101094288
"TGOr106",550290.857262786,510541.645737214
"UGAr101",2419871.23597207,2277008.82602793
"UGAr102",1990783.12133085,1948864.66366915
"UGAr103",843320.47702847,766560.74397153
"UGAr104",2144204.80829779,2039164.94270221
"UGAr105",2860310.658152,2702980.363848
"UGAr106",2492929.33443364,2416168.97556636
"UGAr107",1502298.71318128,1359920.72781873
"UGAr108",2531490.85597666,2454793.83702334
"UGAr109",2429083.24497148,2182792.04302852
"ZMBr101",1046252.42024139,973970.563758612
"ZMBr102",1214218.75514399,1132828.75285601
"ZMBr103",985506.240190159,952350.998809841
"ZMBr104",657561.280380962,613301.354619038
"ZMBr105",1248487.37280805,1202640.34219194
"ZMBr106",1183507.89840584,1121823.70059416
"ZMBr107",452660.431331875,420720.668868125
"ZMBr108",991676.362245477,988488.911754523
"ZMBr109",548751.308093203,503126.904906797
"ZWEr101",991556.411009873,917561.506990127
"ZWEr102",645450.791850741,631094.187149259
"ZWEr103",784456.854061534,720140.018938466
"ZWEr104",866359.195270097,824684.587729903
"ZWEr105",432474.367933124,380447.780566876
"ZWEr106",391596.880268004,344081.246631996
"ZWEr107",929015.711934921,825341.172065079
"ZWEr108",872193.87761955,757403.76738045
"ZWEr109",1183290.12118181,1007164.28381818
"ZWEr110",353324.051806302,295088.683193698
